Eid|Sid|Order|Title|Created at|Description|Course
0|0|1|Statistical Learning: 1.1 Opening Remarks|2022-10-07T16:59:45Z|This is an introductory-level course in supervised learning, with a focus on regression and classification methods. The syllabus includes: linear and polynomial regression, logistic regression and linear discriminant analysis; cross-validation and the bootstrap, model selection and regularization methods (ridge and lasso); nonlinear models, splines and generalized additive models; tree-based methods, random forests and boosting; support-vector machines; neural networks and deep learning; survival models; multiple testing. Some unsupervised learning methods are discussed: principal components and clustering (k-means and hierarchical).  This is not a math-heavy class, so we try and describe the methods without heavy reliance on formulas and complex mathematics. We focus on what we consider to be the important elements of modern data science. Computing is done in Python. There are lectures devoted to Python, giving tutorials from the ground up, and progressing with more detailed sessions that implement the techniques in each chapter.  The lectures cover all the material in An Introduction to Statistical Learning, with Applications in Python by James, Witten, Hastie, Tibshirani and Taylor (Springer, 2023). The pdf for this book is available for free on the book website.  What You'll Learn: Overview of statistical learning Linear regression Classification Resampling methods Linear model selection and regularization Moving beyond linearity Tree-based methods Support vector machines Deep learning Survival modeling Unsupervised learning Multiple testing|LvySJGj-88U
200|3|17|Stanford CS224N NLP with Deep Learning , Winter 2021 , Lecture 17 - Model Analysis and Explanation|2021-10-29T01:23:57Z|Natural language processing (NLP) is a crucial part of artificial intelligence (AI), modeling how people share information. In recent years, deep learning approaches have obtained very high performance on many NLP tasks. In this course, students gain a thorough introduction to cutting-edge neural networks for NLP.|f_qmSSBWV_E
201|3|18|Stanford CS224N NLP with Deep Learning , Winter 2021 , Lecture 18 - Future of NLP + Deep Learning|2021-10-29T01:24:24Z|Natural language processing (NLP) is a crucial part of artificial intelligence (AI), modeling how people share information. In recent years, deep learning approaches have obtained very high performance on many NLP tasks. In this course, students gain a thorough introduction to cutting-edge neural networks for NLP.|2t7Q9WVUaf8
202|3|19|Stanford CS224N NLP with Deep Learning , 2023 , Python Tutorial, Manasi Sharma|2023-09-20T00:10:56Z|Natural language processing (NLP) is a crucial part of artificial intelligence (AI), modeling how people share information. In recent years, deep learning approaches have obtained very high performance on many NLP tasks. In this course, students gain a thorough introduction to cutting-edge neural networks for NLP.|8j4wpU98Q74
203|3|20|Stanford CS224N NLP with Deep Learning , 2023 , PyTorch Tutorial,  Drew Kaul|2023-09-20T00:10:59Z|Natural language processing (NLP) is a crucial part of artificial intelligence (AI), modeling how people share information. In recent years, deep learning approaches have obtained very high performance on many NLP tasks. In this course, students gain a thorough introduction to cutting-edge neural networks for NLP.|Uv0AIRr3ptg
204|3|21|Stanford CS224N NLP with Deep Learning , 2023 , Hugging Face Tutorial, Eric Frankel|2023-09-20T00:11:03Z|Natural language processing (NLP) is a crucial part of artificial intelligence (AI), modeling how people share information. In recent years, deep learning approaches have obtained very high performance on many NLP tasks. In this course, students gain a thorough introduction to cutting-edge neural networks for NLP.|b80by3Xk_A8
205|3|22|Stanford CS224N NLP with Deep Learning , 2023 , Lecture 16 - Multimodal Deep Learning, Douwe Kiela|2023-09-20T00:10:51Z|Natural language processing (NLP) is a crucial part of artificial intelligence (AI), modeling how people share information. In recent years, deep learning approaches have obtained very high performance on many NLP tasks. In this course, students gain a thorough introduction to cutting-edge neural networks for NLP.|5vfIT5LOkR0
206|3|23|Stanford CS224N NLP with Deep Learning , 2023 , Lec. 19 - Model Interpretability & Editing, Been Kim|2023-09-20T00:10:48Z|Natural language processing (NLP) is a crucial part of artificial intelligence (AI), modeling how people share information. In recent years, deep learning approaches have obtained very high performance on many NLP tasks. In this course, students gain a thorough introduction to cutting-edge neural networks for NLP.|cd3pRpEtjLs
207|4|1|Stanford CS229 Machine Learning I Introduction I 2022 I Lecture 1|2023-08-01T14:00:11Z|This course provides a broad introduction to machine learning and statistical pattern recognition. Topics include: supervised learning (generative/discriminative learning, parametric/non-parametric learning, neural networks, support vector machines); unsupervised learning (clustering, dimensionality reduction, kernel methods); learning theory (bias/variance tradeoffs, practical advice); reinforcement learning and adaptive control. The course will also discuss recent applications of machine learning, such as to robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing.  View the course website: https://cs229.stanford.edu/syllabus-spring2022.html|Bl4Feh_Mjvo
208|4|2|Stanford CS229 Machine Learning I Supervised learning setup, LMS I 2022 I Lecture 2|2023-08-02T14:00:24Z|This course provides a broad introduction to machine learning and statistical pattern recognition. Topics include: supervised learning (generative/discriminative learning, parametric/non-parametric learning, neural networks, support vector machines); unsupervised learning (clustering, dimensionality reduction, kernel methods); learning theory (bias/variance tradeoffs, practical advice); reinforcement learning and adaptive control. The course will also discuss recent applications of machine learning, such as to robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing.  View the course website: https://cs229.stanford.edu/syllabus-spring2022.html|gqKaVgQxEJ0
209|4|3|Stanford CS229 I Weighted Least Squares, Logistic regression, Newton's Method I 2022 I Lecture 3|2023-08-03T14:00:35Z|This course provides a broad introduction to machine learning and statistical pattern recognition. Topics include: supervised learning (generative/discriminative learning, parametric/non-parametric learning, neural networks, support vector machines); unsupervised learning (clustering, dimensionality reduction, kernel methods); learning theory (bias/variance tradeoffs, practical advice); reinforcement learning and adaptive control. The course will also discuss recent applications of machine learning, such as to robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing.  View the course website: https://cs229.stanford.edu/syllabus-spring2022.html|k_pDh_68K6c
210|4|4|Stanford CS229 Machine Learning I Exponential family, Generalized Linear Models I 2022 I Lecture 4|2023-08-04T14:00:35Z|This course provides a broad introduction to machine learning and statistical pattern recognition. Topics include: supervised learning (generative/discriminative learning, parametric/non-parametric learning, neural networks, support vector machines); unsupervised learning (clustering, dimensionality reduction, kernel methods); learning theory (bias/variance tradeoffs, practical advice); reinforcement learning and adaptive control. The course will also discuss recent applications of machine learning, such as to robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing.  View the course website: https://cs229.stanford.edu/syllabus-spring2022.html|goDDnBbJQ4g
211|4|5|Stanford CS229 Machine Learning I Gaussian discriminant analysis, Naive Bayes I 2022 I Lecture 5|2023-08-05T14:00:30Z|This course provides a broad introduction to machine learning and statistical pattern recognition. Topics include: supervised learning (generative/discriminative learning, parametric/non-parametric learning, neural networks, support vector machines); unsupervised learning (clustering, dimensionality reduction, kernel methods); learning theory (bias/variance tradeoffs, practical advice); reinforcement learning and adaptive control. The course will also discuss recent applications of machine learning, such as to robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing.  View the course website: https://cs229.stanford.edu/syllabus-spring2022.html|RMy_1mO4HLk
212|4|6|Stanford CS229 Machine Learning I Naive Bayes, Laplace Smoothing I 2022 I Lecture 6|2023-08-06T14:00:06Z|This course provides a broad introduction to machine learning and statistical pattern recognition. Topics include: supervised learning (generative/discriminative learning, parametric/non-parametric learning, neural networks, support vector machines); unsupervised learning (clustering, dimensionality reduction, kernel methods); learning theory (bias/variance tradeoffs, practical advice); reinforcement learning and adaptive control. The course will also discuss recent applications of machine learning, such as to robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing.  View the course website: https://cs229.stanford.edu/syllabus-spring2022.html|ADj95edZc0w
213|4|7|Stanford CS229 Machine Learning I Kernels I 2022 I Lecture 7|2023-08-07T14:00:34Z|This course provides a broad introduction to machine learning and statistical pattern recognition. Topics include: supervised learning (generative/discriminative learning, parametric/non-parametric learning, neural networks, support vector machines); unsupervised learning (clustering, dimensionality reduction, kernel methods); learning theory (bias/variance tradeoffs, practical advice); reinforcement learning and adaptive control. The course will also discuss recent applications of machine learning, such as to robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing.  View the course website: https://cs229.stanford.edu/syllabus-spring2022.html|dzDOqrac9Ks
214|4|8|Stanford CS229 Machine Learning I Neural Networks 1 I 2022 I Lecture 8|2023-08-08T14:00:19Z|This course provides a broad introduction to machine learning and statistical pattern recognition. Topics include: supervised learning (generative/discriminative learning, parametric/non-parametric learning, neural networks, support vector machines); unsupervised learning (clustering, dimensionality reduction, kernel methods); learning theory (bias/variance tradeoffs, practical advice); reinforcement learning and adaptive control. The course will also discuss recent applications of machine learning, such as to robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing.  View the course website: https://cs229.stanford.edu/syllabus-spring2022.html|ZMxfDWPXmjc
215|4|9|Stanford CS229 Machine Learning I Neural Networks 2 (backprop) I 2022 I Lecture 9|2023-08-09T14:00:31Z|This course provides a broad introduction to machine learning and statistical pattern recognition. Topics include: supervised learning (generative/discriminative learning, parametric/non-parametric learning, neural networks, support vector machines); unsupervised learning (clustering, dimensionality reduction, kernel methods); learning theory (bias/variance tradeoffs, practical advice); reinforcement learning and adaptive control. The course will also discuss recent applications of machine learning, such as to robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing.  View the course website: https://cs229.stanford.edu/syllabus-spring2022.html|UbtTv7j1tzU
216|4|10|Stanford CS229 Machine Learning I Bias - Variance, Regularization I 2022 I Lecture 10|2023-08-10T14:00:08Z|This course provides a broad introduction to machine learning and statistical pattern recognition. Topics include: supervised learning (generative/discriminative learning, parametric/non-parametric learning, neural networks, support vector machines); unsupervised learning (clustering, dimensionality reduction, kernel methods); learning theory (bias/variance tradeoffs, practical advice); reinforcement learning and adaptive control. The course will also discuss recent applications of machine learning, such as to robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing.  View the course website: https://cs229.stanford.edu/syllabus-spring2022.html|7AQYw5FOVcw
217|4|11|Stanford CS229 Machine Learning I Feature / Model selection, ML Advice I 2022 I Lecture 11|2023-08-11T14:00:13Z|This course provides a broad introduction to machine learning and statistical pattern recognition. Topics include: supervised learning (generative/discriminative learning, parametric/non-parametric learning, neural networks, support vector machines); unsupervised learning (clustering, dimensionality reduction, kernel methods); learning theory (bias/variance tradeoffs, practical advice); reinforcement learning and adaptive control. The course will also discuss recent applications of machine learning, such as to robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing.  View the course website: https://cs229.stanford.edu/syllabus-spring2022.html|NirZnqwYfYU
218|4|12|Stanford CS229 I K-Means, GMM (non EM), Expectation Maximization I 2022 I Lecture 12|2023-08-12T14:00:27Z|This course provides a broad introduction to machine learning and statistical pattern recognition. Topics include: supervised learning (generative/discriminative learning, parametric/non-parametric learning, neural networks, support vector machines); unsupervised learning (clustering, dimensionality reduction, kernel methods); learning theory (bias/variance tradeoffs, practical advice); reinforcement learning and adaptive control. The course will also discuss recent applications of machine learning, such as to robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing.  View the course website: https://cs229.stanford.edu/syllabus-spring2022.html|LMZZPneTcP4
219|4|13|Stanford CS229 Machine Learning I GMM (EM) I 2022 I Lecture 13|2023-08-13T14:00:34Z|This course provides a broad introduction to machine learning and statistical pattern recognition. Topics include: supervised learning (generative/discriminative learning, parametric/non-parametric learning, neural networks, support vector machines); unsupervised learning (clustering, dimensionality reduction, kernel methods); learning theory (bias/variance tradeoffs, practical advice); reinforcement learning and adaptive control. The course will also discuss recent applications of machine learning, such as to robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing.  View the course website: https://cs229.stanford.edu/syllabus-spring2022.html|khTGx7m3Y8A
220|4|14|Stanford CS229 Machine Learning I Factor Analysis/PCA I 2022 I Lecture 14|2023-08-14T14:00:43Z|This course provides a broad introduction to machine learning and statistical pattern recognition. Topics include: supervised learning (generative/discriminative learning, parametric/non-parametric learning, neural networks, support vector machines); unsupervised learning (clustering, dimensionality reduction, kernel methods); learning theory (bias/variance tradeoffs, practical advice); reinforcement learning and adaptive control. The course will also discuss recent applications of machine learning, such as to robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing.  View the course website: https://cs229.stanford.edu/syllabus-spring2022.html|o2KzJdbOwMc
221|4|15|Stanford CS229 Machine Learning I PCA/ICA I 2022 I Lecture 15|2023-08-15T14:00:10Z|This course provides a broad introduction to machine learning and statistical pattern recognition. Topics include: supervised learning (generative/discriminative learning, parametric/non-parametric learning, neural networks, support vector machines); unsupervised learning (clustering, dimensionality reduction, kernel methods); learning theory (bias/variance tradeoffs, practical advice); reinforcement learning and adaptive control. The course will also discuss recent applications of machine learning, such as to robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing.  View the course website: https://cs229.stanford.edu/syllabus-spring2022.html|FVLZG_oHUIw
222|4|16|Stanford CS229 Machine Learning I Self-supervised learning I 2022 I Lecture 16|2023-08-16T14:00:03Z|This course provides a broad introduction to machine learning and statistical pattern recognition. Topics include: supervised learning (generative/discriminative learning, parametric/non-parametric learning, neural networks, support vector machines); unsupervised learning (clustering, dimensionality reduction, kernel methods); learning theory (bias/variance tradeoffs, practical advice); reinforcement learning and adaptive control. The course will also discuss recent applications of machine learning, such as to robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing.  View the course website: https://cs229.stanford.edu/syllabus-spring2022.html|6N3OAWIsUOU
223|4|17|Stanford CS229 I Basic concepts in RL, Value iteration, Policy iteration I 2022 I Lecture 17|2023-08-17T14:00:04Z|This course provides a broad introduction to machine learning and statistical pattern recognition. Topics include: supervised learning (generative/discriminative learning, parametric/non-parametric learning, neural networks, support vector machines); unsupervised learning (clustering, dimensionality reduction, kernel methods); learning theory (bias/variance tradeoffs, practical advice); reinforcement learning and adaptive control. The course will also discuss recent applications of machine learning, such as to robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing.  View the course website: https://cs229.stanford.edu/syllabus-spring2022.html|6ZYx_1NlYbI
224|4|18|Stanford CS229 I Societal impact of ML (Guest lecture by Prof. James Zou) I 2022 I Lecture 18|2023-08-18T14:00:31Z|This course provides a broad introduction to machine learning and statistical pattern recognition. Topics include: supervised learning (generative/discriminative learning, parametric/non-parametric learning, neural networks, support vector machines); unsupervised learning (clustering, dimensionality reduction, kernel methods); learning theory (bias/variance tradeoffs, practical advice); reinforcement learning and adaptive control. The course will also discuss recent applications of machine learning, such as to robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing.  View the course website: https://cs229.stanford.edu/syllabus-spring2022.html|UyPn-QR8A7I
225|4|19|Stanford CS229 Machine Learning I Model-based RL, Value function approximator I 2022 I Lecture 20|2023-08-19T14:00:27Z|This course provides a broad introduction to machine learning and statistical pattern recognition. Topics include: supervised learning (generative/discriminative learning, parametric/non-parametric learning, neural networks, support vector machines); unsupervised learning (clustering, dimensionality reduction, kernel methods); learning theory (bias/variance tradeoffs, practical advice); reinforcement learning and adaptive control. The course will also discuss recent applications of machine learning, such as to robotic control, data mining, autonomous navigation, bioinformatics, speech recognition, and text and web data processing.  View the course website: https://cs229.stanford.edu/syllabus-spring2022.html|gPCd0xx_OYI
226|5|1|Stanford CS330 Deep Multi-Task & Meta Learning - What is multi-task learning? I 2022 I Lecture 1|2023-03-30T16:30:11Z|While deep learning has achieved remarkable success in many problems such as image classification, natural language processing, and speech recognition, these models are, to a large degree, specialized for the single task they are trained for. This course will cover the setting where there are multiple tasks to be solved, and study how the structure arising from multiple tasks can be leveraged to learn more efficiently or effectively. This includes:  self-supervised pre-training for downstream few-shot learning and transfer learning meta-learning methods that aim to learn efficient learning algorithms that can learn new tasks quickly curriculum and lifelong learning, where the problem requires learning a sequence of tasks, leveraging their shared structure to enable knowledge transfer  This is a graduate-level course. By the end of the course, students will be able to understand and implement the state-of-the-art multi-task learning and meta-learning algorithms and be ready to conduct research on these topics.|bkVCAk9Nsss
227|5|2|Stanford CS330 Deep Multi-Task & Meta Learning - Multi-Task Learning Basics I 2022 I Lecture 2|2023-03-31T16:30:10Z|While deep learning has achieved remarkable success in many problems such as image classification, natural language processing, and speech recognition, these models are, to a large degree, specialized for the single task they are trained for. This course will cover the setting where there are multiple tasks to be solved, and study how the structure arising from multiple tasks can be leveraged to learn more efficiently or effectively. This includes:  self-supervised pre-training for downstream few-shot learning and transfer learning meta-learning methods that aim to learn efficient learning algorithms that can learn new tasks quickly curriculum and lifelong learning, where the problem requires learning a sequence of tasks, leveraging their shared structure to enable knowledge transfer  This is a graduate-level course. By the end of the course, students will be able to understand and implement the state-of-the-art multi-task learning and meta-learning algorithms and be ready to conduct research on these topics.|vI46tzt4O7Y
228|5|3|Stanford CS330 Deep Multi-Task & Meta Learning - Transfer Learning, Meta Learning l 2022 I Lecture 3|2023-04-01T16:30:07Z|While deep learning has achieved remarkable success in many problems such as image classification, natural language processing, and speech recognition, these models are, to a large degree, specialized for the single task they are trained for. This course will cover the setting where there are multiple tasks to be solved, and study how the structure arising from multiple tasks can be leveraged to learn more efficiently or effectively. This includes:  self-supervised pre-training for downstream few-shot learning and transfer learning meta-learning methods that aim to learn efficient learning algorithms that can learn new tasks quickly curriculum and lifelong learning, where the problem requires learning a sequence of tasks, leveraging their shared structure to enable knowledge transfer  This is a graduate-level course. By the end of the course, students will be able to understand and implement the state-of-the-art multi-task learning and meta-learning algorithms and be ready to conduct research on these topics.|bVjCjdq06R4
229|5|4|Stanford CS330 Deep Multi-Task & Meta Learning - Black Box Meta Learning l 2022 I Lecture 4|2023-04-02T16:30:06Z|While deep learning has achieved remarkable success in many problems such as image classification, natural language processing, and speech recognition, these models are, to a large degree, specialized for the single task they are trained for. This course will cover the setting where there are multiple tasks to be solved, and study how the structure arising from multiple tasks can be leveraged to learn more efficiently or effectively. This includes:  self-supervised pre-training for downstream few-shot learning and transfer learning meta-learning methods that aim to learn efficient learning algorithms that can learn new tasks quickly curriculum and lifelong learning, where the problem requires learning a sequence of tasks, leveraging their shared structure to enable knowledge transfer  This is a graduate-level course. By the end of the course, students will be able to understand and implement the state-of-the-art multi-task learning and meta-learning algorithms and be ready to conduct research on these topics.|cjTs7lH5eUs
230|5|5|Stanford CS330 Deep Multi-Task & Meta Learning - Optimization-Based Meta-Learning l 2022 I Lecture 5|2023-04-03T16:30:02Z|While deep learning has achieved remarkable success in many problems such as image classification, natural language processing, and speech recognition, these models are, to a large degree, specialized for the single task they are trained for. This course will cover the setting where there are multiple tasks to be solved, and study how the structure arising from multiple tasks can be leveraged to learn more efficiently or effectively. This includes:  self-supervised pre-training for downstream few-shot learning and transfer learning meta-learning methods that aim to learn efficient learning algorithms that can learn new tasks quickly curriculum and lifelong learning, where the problem requires learning a sequence of tasks, leveraging their shared structure to enable knowledge transfer  This is a graduate-level course. By the end of the course, students will be able to understand and implement the state-of-the-art multi-task learning and meta-learning algorithms and be ready to conduct research on these topics.|Gj5SEpFIv8I
231|5|6|Stanford CS330 Deep Multi-Task & Meta Learning - Non-Parametric Few-Shot Learning l 2022 I Lecture 6|2023-04-04T16:30:04Z|While deep learning has achieved remarkable success in many problems such as image classification, natural language processing, and speech recognition, these models are, to a large degree, specialized for the single task they are trained for. This course will cover the setting where there are multiple tasks to be solved, and study how the structure arising from multiple tasks can be leveraged to learn more efficiently or effectively. This includes:  self-supervised pre-training for downstream few-shot learning and transfer learning meta-learning methods that aim to learn efficient learning algorithms that can learn new tasks quickly curriculum and lifelong learning, where the problem requires learning a sequence of tasks, leveraging their shared structure to enable knowledge transfer  This is a graduate-level course. By the end of the course, students will be able to understand and implement the state-of-the-art multi-task learning and meta-learning algorithms and be ready to conduct research on these topics.|SUJCgisKW1Y
232|5|7|Stanford CS330 I Unsupervised Pre-Training:Contrastive Learning l 2022 I Lecture 7|2023-04-05T16:30:08Z|While deep learning has achieved remarkable success in many problems such as image classification, natural language processing, and speech recognition, these models are, to a large degree, specialized for the single task they are trained for. This course will cover the setting where there are multiple tasks to be solved, and study how the structure arising from multiple tasks can be leveraged to learn more efficiently or effectively. This includes:  self-supervised pre-training for downstream few-shot learning and transfer learning meta-learning methods that aim to learn efficient learning algorithms that can learn new tasks quickly curriculum and lifelong learning, where the problem requires learning a sequence of tasks, leveraging their shared structure to enable knowledge transfer  This is a graduate-level course. By the end of the course, students will be able to understand and implement the state-of-the-art multi-task learning and meta-learning algorithms and be ready to conduct research on these topics.|jDzuGEcnRkA
233|5|8|Stanford CS330 I Unsupervised Pre-training for Few-shot Learning l 2022 I Lecture 8|2023-04-06T16:30:04Z|While deep learning has achieved remarkable success in many problems such as image classification, natural language processing, and speech recognition, these models are, to a large degree, specialized for the single task they are trained for. This course will cover the setting where there are multiple tasks to be solved, and study how the structure arising from multiple tasks can be leveraged to learn more efficiently or effectively. This includes:  self-supervised pre-training for downstream few-shot learning and transfer learning meta-learning methods that aim to learn efficient learning algorithms that can learn new tasks quickly curriculum and lifelong learning, where the problem requires learning a sequence of tasks, leveraging their shared structure to enable knowledge transfer  This is a graduate-level course. By the end of the course, students will be able to understand and implement the state-of-the-art multi-task learning and meta-learning algorithms and be ready to conduct research on these topics.|Vs85VCzug0I
234|5|9|Stanford CS330 I Advanced Meta-Learning TopicsTask Construction l 2022 I Lecture 9|2023-04-07T16:30:00Z|While deep learning has achieved remarkable success in many problems such as image classification, natural language processing, and speech recognition, these models are, to a large degree, specialized for the single task they are trained for. This course will cover the setting where there are multiple tasks to be solved, and study how the structure arising from multiple tasks can be leveraged to learn more efficiently or effectively. This includes:  self-supervised pre-training for downstream few-shot learning and transfer learning meta-learning methods that aim to learn efficient learning algorithms that can learn new tasks quickly curriculum and lifelong learning, where the problem requires learning a sequence of tasks, leveraging their shared structure to enable knowledge transfer  This is a graduate-level course. By the end of the course, students will be able to understand and implement the state-of-the-art multi-task learning and meta-learning algorithms and be ready to conduct research on these topics.|4z3ijI9QacE
235|5|10|Stanford CS330 I Advanced Meta-Learning 2: Large-Scale Meta-Optimization l 2022 I Lecture 10|2023-04-08T16:30:15Z|While deep learning has achieved remarkable success in many problems such as image classification, natural language processing, and speech recognition, these models are, to a large degree, specialized for the single task they are trained for. This course will cover the setting where there are multiple tasks to be solved, and study how the structure arising from multiple tasks can be leveraged to learn more efficiently or effectively. This includes:  self-supervised pre-training for downstream few-shot learning and transfer learning meta-learning methods that aim to learn efficient learning algorithms that can learn new tasks quickly curriculum and lifelong learning, where the problem requires learning a sequence of tasks, leveraging their shared structure to enable knowledge transfer  This is a graduate-level course. By the end of the course, students will be able to understand and implement the state-of-the-art multi-task learning and meta-learning algorithms and be ready to conduct research on these topics.|tCGS5I9ow0k
236|5|11|Stanford CS330 I Variational Inference and Generative Models l 2022 I Lecture 11|2023-04-09T16:30:07Z|While deep learning has achieved remarkable success in many problems such as image classification, natural language processing, and speech recognition, these models are, to a large degree, specialized for the single task they are trained for. This course will cover the setting where there are multiple tasks to be solved, and study how the structure arising from multiple tasks can be leveraged to learn more efficiently or effectively. This includes:  self-supervised pre-training for downstream few-shot learning and transfer learning meta-learning methods that aim to learn efficient learning algorithms that can learn new tasks quickly curriculum and lifelong learning, where the problem requires learning a sequence of tasks, leveraging their shared structure to enable knowledge transfer  This is a graduate-level course. By the end of the course, students will be able to understand and implement the state-of-the-art multi-task learning and meta-learning algorithms and be ready to conduct research on these topics.|iL1c1KmYPM0
237|5|12|Stanford CS330 Deep Multi-Task & Meta Learning - Bayesian Meta-Learning l 2022 I Lecture 12|2023-04-10T16:30:00Z|While deep learning has achieved remarkable success in many problems such as image classification, natural language processing, and speech recognition, these models are, to a large degree, specialized for the single task they are trained for. This course will cover the setting where there are multiple tasks to be solved, and study how the structure arising from multiple tasks can be leveraged to learn more efficiently or effectively. This includes:  self-supervised pre-training for downstream few-shot learning and transfer learning meta-learning methods that aim to learn efficient learning algorithms that can learn new tasks quickly curriculum and lifelong learning, where the problem requires learning a sequence of tasks, leveraging their shared structure to enable knowledge transfer  This is a graduate-level course. By the end of the course, students will be able to understand and implement the state-of-the-art multi-task learning and meta-learning algorithms and be ready to conduct research on these topics.|-y3ufzjgmlY
238|5|13|Stanford CS330 Deep Multi-Task & Meta Learning - Domain Adaptation l 2022 I Lecture 13|2023-04-11T16:30:07Z|While deep learning has achieved remarkable success in many problems such as image classification, natural language processing, and speech recognition, these models are, to a large degree, specialized for the single task they are trained for. This course will cover the setting where there are multiple tasks to be solved, and study how the structure arising from multiple tasks can be leveraged to learn more efficiently or effectively. This includes:  self-supervised pre-training for downstream few-shot learning and transfer learning meta-learning methods that aim to learn efficient learning algorithms that can learn new tasks quickly curriculum and lifelong learning, where the problem requires learning a sequence of tasks, leveraging their shared structure to enable knowledge transfer  This is a graduate-level course. By the end of the course, students will be able to understand and implement the state-of-the-art multi-task learning and meta-learning algorithms and be ready to conduct research on these topics.|Uk6MU_PLDMs
239|5|14|Stanford CS330 Deep Multi-Task & Meta Learning - Domain Generalization l 2022 I Lecture 14|2023-04-12T16:30:01Z|While deep learning has achieved remarkable success in many problems such as image classification, natural language processing, and speech recognition, these models are, to a large degree, specialized for the single task they are trained for. This course will cover the setting where there are multiple tasks to be solved, and study how the structure arising from multiple tasks can be leveraged to learn more efficiently or effectively. This includes:  self-supervised pre-training for downstream few-shot learning and transfer learning meta-learning methods that aim to learn efficient learning algorithms that can learn new tasks quickly curriculum and lifelong learning, where the problem requires learning a sequence of tasks, leveraging their shared structure to enable knowledge transfer  This is a graduate-level course. By the end of the course, students will be able to understand and implement the state-of-the-art multi-task learning and meta-learning algorithms and be ready to conduct research on these topics.|EK0sgHPLou8
240|5|15|Stanford CS330 Deep Multi-Task & Meta Learning - Lifelong Learning I 2022 I Lecture 15|2023-04-13T16:30:17Z|While deep learning has achieved remarkable success in many problems such as image classification, natural language processing, and speech recognition, these models are, to a large degree, specialized for the single task they are trained for. This course will cover the setting where there are multiple tasks to be solved, and study how the structure arising from multiple tasks can be leveraged to learn more efficiently or effectively. This includes:  self-supervised pre-training for downstream few-shot learning and transfer learning meta-learning methods that aim to learn efficient learning algorithms that can learn new tasks quickly curriculum and lifelong learning, where the problem requires learning a sequence of tasks, leveraging their shared structure to enable knowledge transfer  This is a graduate-level course. By the end of the course, students will be able to understand and implement the state-of-the-art multi-task learning and meta-learning algorithms and be ready to conduct research on these topics.|tQjDijHgblg
241|5|16|Stanford CS330 Deep Multi-Task & Meta Learning - Frontiers and Open Challenges I 2022 I Lecture 16|2023-04-14T16:30:10Z|While deep learning has achieved remarkable success in many problems such as image classification, natural language processing, and speech recognition, these models are, to a large degree, specialized for the single task they are trained for. This course will cover the setting where there are multiple tasks to be solved, and study how the structure arising from multiple tasks can be leveraged to learn more efficiently or effectively. This includes:  self-supervised pre-training for downstream few-shot learning and transfer learning meta-learning methods that aim to learn efficient learning algorithms that can learn new tasks quickly curriculum and lifelong learning, where the problem requires learning a sequence of tasks, leveraging their shared structure to enable knowledge transfer  This is a graduate-level course. By the end of the course, students will be able to understand and implement the state-of-the-art multi-task learning and meta-learning algorithms and be ready to conduct research on these topics.|x-Ca8mvNdPQ
242|5|17|Stanford CS330 Deep Multi-Task & Meta Learning - Percy Liang Guest Lecture I 2022 I Lecture 17|2023-04-15T16:30:02Z|While deep learning has achieved remarkable success in many problems such as image classification, natural language processing, and speech recognition, these models are, to a large degree, specialized for the single task they are trained for. This course will cover the setting where there are multiple tasks to be solved, and study how the structure arising from multiple tasks can be leveraged to learn more efficiently or effectively. This includes:  self-supervised pre-training for downstream few-shot learning and transfer learning meta-learning methods that aim to learn efficient learning algorithms that can learn new tasks quickly curriculum and lifelong learning, where the problem requires learning a sequence of tasks, leveraging their shared structure to enable knowledge transfer  This is a graduate-level course. By the end of the course, students will be able to understand and implement the state-of-the-art multi-task learning and meta-learning algorithms and be ready to conduct research on these topics.|L8YHbVZlYuw
