Eid|Sid|Order|Title|Created at|Description|Course
597|21|101|4.6.1 Deviation From The Mean: Video|2016-09-12T18:13:15Z|MIT 6.042J Mathematics for Computer Science, Spring 2015 View the complete course: http://ocw.mit.edu/6-042JS15 Instructor: Albert R. Meyer  This subject offers an interactive introduction to discrete mathematics oriented toward computer science and engineering. The subject coverage divides roughly into thirds:  1)Fundamental concepts of mathematics: Definitions, proofs, sets, functions, relations. 2)Discrete structures: graphs, state machines, modular arithmetic, counting. 3)Discrete probability theory.  On completion of 6.042J, students will be able to explain and apply the basic methods of discrete (noncontinuous) mathematics in computer science. They will be able to use these methods in subsequent courses in the design and analysis of algorithms, computability theory, software engineering, and computer systems.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|ALn1McUXg-c
598|21|102|4.6.3 Markov Bounds: Video|2016-09-12T18:13:18Z|MIT 6.042J Mathematics for Computer Science, Spring 2015 View the complete course: http://ocw.mit.edu/6-042JS15 Instructor: Albert R. Meyer  This subject offers an interactive introduction to discrete mathematics oriented toward computer science and engineering. The subject coverage divides roughly into thirds:  1)Fundamental concepts of mathematics: Definitions, proofs, sets, functions, relations. 2)Discrete structures: graphs, state machines, modular arithmetic, counting. 3)Discrete probability theory.  On completion of 6.042J, students will be able to explain and apply the basic methods of discrete (noncontinuous) mathematics in computer science. They will be able to use these methods in subsequent courses in the design and analysis of algorithms, computability theory, software engineering, and computer systems.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|m07lrb7m0D0
599|21|103|4.6.5 Chebyshev Bounds: Video|2016-09-12T18:13:16Z|MIT 6.042J Mathematics for Computer Science, Spring 2015 View the complete course: http://ocw.mit.edu/6-042JS15 Instructor: Albert R. Meyer  This subject offers an interactive introduction to discrete mathematics oriented toward computer science and engineering. The subject coverage divides roughly into thirds:  1)Fundamental concepts of mathematics: Definitions, proofs, sets, functions, relations. 2)Discrete structures: graphs, state machines, modular arithmetic, counting. 3)Discrete probability theory.  On completion of 6.042J, students will be able to explain and apply the basic methods of discrete (noncontinuous) mathematics in computer science. They will be able to use these methods in subsequent courses in the design and analysis of algorithms, computability theory, software engineering, and computer systems.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|uaa4P-kkLrA
600|21|104|4.6.7 Variance: Video|2016-09-12T18:13:13Z|MIT 6.042J Mathematics for Computer Science, Spring 2015 View the complete course: http://ocw.mit.edu/6-042JS15 Instructor: Albert R. Meyer  This subject offers an interactive introduction to discrete mathematics oriented toward computer science and engineering. The subject coverage divides roughly into thirds:  1)Fundamental concepts of mathematics: Definitions, proofs, sets, functions, relations. 2)Discrete structures: graphs, state machines, modular arithmetic, counting. 3)Discrete probability theory.  On completion of 6.042J, students will be able to explain and apply the basic methods of discrete (noncontinuous) mathematics in computer science. They will be able to use these methods in subsequent courses in the design and analysis of algorithms, computability theory, software engineering, and computer systems.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|o57CTwt1-ck
601|21|105|4.7.1 Law Of Large Numbers: Video|2016-09-12T18:13:20Z|MIT 6.042J Mathematics for Computer Science, Spring 2015 View the complete course: http://ocw.mit.edu/6-042JS15 Instructor: Albert R. Meyer  This subject offers an interactive introduction to discrete mathematics oriented toward computer science and engineering. The subject coverage divides roughly into thirds:  1)Fundamental concepts of mathematics: Definitions, proofs, sets, functions, relations. 2)Discrete structures: graphs, state machines, modular arithmetic, counting. 3)Discrete probability theory.  On completion of 6.042J, students will be able to explain and apply the basic methods of discrete (noncontinuous) mathematics in computer science. They will be able to use these methods in subsequent courses in the design and analysis of algorithms, computability theory, software engineering, and computer systems.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|-yo3YxfY47g
602|21|106|4.7.3 Independent Sampling Theorem: Video|2016-09-12T18:13:07Z|MIT 6.042J Mathematics for Computer Science, Spring 2015 View the complete course: http://ocw.mit.edu/6-042JS15 Instructor: Albert R. Meyer  This subject offers an interactive introduction to discrete mathematics oriented toward computer science and engineering. The subject coverage divides roughly into thirds:  1)Fundamental concepts of mathematics: Definitions, proofs, sets, functions, relations. 2)Discrete structures: graphs, state machines, modular arithmetic, counting. 3)Discrete probability theory.  On completion of 6.042J, students will be able to explain and apply the basic methods of discrete (noncontinuous) mathematics in computer science. They will be able to use these methods in subsequent courses in the design and analysis of algorithms, computability theory, software engineering, and computer systems.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|MMn7q1M7pGI
603|21|107|4.7.5 Birthday Matching: Video|2016-09-12T18:13:06Z|MIT 6.042J Mathematics for Computer Science, Spring 2015 View the complete course: http://ocw.mit.edu/6-042JS15 Instructor: Albert R. Meyer  This subject offers an interactive introduction to discrete mathematics oriented toward computer science and engineering. The subject coverage divides roughly into thirds:  1)Fundamental concepts of mathematics: Definitions, proofs, sets, functions, relations. 2)Discrete structures: graphs, state machines, modular arithmetic, counting. 3)Discrete probability theory.  On completion of 6.042J, students will be able to explain and apply the basic methods of discrete (noncontinuous) mathematics in computer science. They will be able to use these methods in subsequent courses in the design and analysis of algorithms, computability theory, software engineering, and computer systems.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|TWVntUfXsKs
604|21|108|4.7.7 Sampling & Confidence: Video|2016-09-12T18:13:19Z|MIT 6.042J Mathematics for Computer Science, Spring 2015 View the complete course: http://ocw.mit.edu/6-042JS15 Instructor: Albert R. Meyer  This subject offers an interactive introduction to discrete mathematics oriented toward computer science and engineering. The subject coverage divides roughly into thirds:  1)Fundamental concepts of mathematics: Definitions, proofs, sets, functions, relations. 2)Discrete structures: graphs, state machines, modular arithmetic, counting. 3)Discrete probability theory.  On completion of 6.042J, students will be able to explain and apply the basic methods of discrete (noncontinuous) mathematics in computer science. They will be able to use these methods in subsequent courses in the design and analysis of algorithms, computability theory, software engineering, and computer systems.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|Q-6Cw8tYVeY
605|21|109|4.8.1 Random Walks: Video|2016-09-12T18:13:08Z|MIT 6.042J Mathematics for Computer Science, Spring 2015 View the complete course: http://ocw.mit.edu/6-042JS15 Instructor: Albert R. Meyer  This subject offers an interactive introduction to discrete mathematics oriented toward computer science and engineering. The subject coverage divides roughly into thirds:  1)Fundamental concepts of mathematics: Definitions, proofs, sets, functions, relations. 2)Discrete structures: graphs, state machines, modular arithmetic, counting. 3)Discrete probability theory.  On completion of 6.042J, students will be able to explain and apply the basic methods of discrete (noncontinuous) mathematics in computer science. They will be able to use these methods in subsequent courses in the design and analysis of algorithms, computability theory, software engineering, and computer systems.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|-j7MoM3P_J8
606|21|110|4.8.2 Stationary Distributions: Video|2016-09-12T18:13:21Z|MIT 6.042J Mathematics for Computer Science, Spring 2015 View the complete course: http://ocw.mit.edu/6-042JS15 Instructor: Albert R. Meyer  This subject offers an interactive introduction to discrete mathematics oriented toward computer science and engineering. The subject coverage divides roughly into thirds:  1)Fundamental concepts of mathematics: Definitions, proofs, sets, functions, relations. 2)Discrete structures: graphs, state machines, modular arithmetic, counting. 3)Discrete probability theory.  On completion of 6.042J, students will be able to explain and apply the basic methods of discrete (noncontinuous) mathematics in computer science. They will be able to use these methods in subsequent courses in the design and analysis of algorithms, computability theory, software engineering, and computer systems.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|iZX8WEGZTVw
607|21|111|4.8.3 Page Rank: Video|2016-09-12T18:13:17Z|MIT 6.042J Mathematics for Computer Science, Spring 2015 View the complete course: http://ocw.mit.edu/6-042JS15 Instructor: Albert R. Meyer  This subject offers an interactive introduction to discrete mathematics oriented toward computer science and engineering. The subject coverage divides roughly into thirds:  1)Fundamental concepts of mathematics: Definitions, proofs, sets, functions, relations. 2)Discrete structures: graphs, state machines, modular arithmetic, counting. 3)Discrete probability theory.  On completion of 6.042J, students will be able to explain and apply the basic methods of discrete (noncontinuous) mathematics in computer science. They will be able to use these methods in subsequent courses in the design and analysis of algorithms, computability theory, software engineering, and computer systems.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|QKO_2WQkZ0k
608|22|1|Puzzle 1: You Will All Conform|2018-05-13T04:33:01Z|MIT 6.S095 Programming for the Puzzled, IAP 2018 View the complete course: https://ocw.mit.edu/6-S095IAP18 Instructor: Srini Devadas  Do you like solving recreational puzzles but think programming is difficult or boring? In these videos, Prof. Devadas describes algorithmic puzzles that you will want to solve and whose solutions you will want to code! All code examples use Python.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|14UlXIZzwE4
609|22|2|Puzzle 2: The Best Time to Party|2018-05-10T15:31:40Z|MIT 6.S095 Programming for the Puzzled, IAP 2018 View the complete course: https://ocw.mit.edu/6-S095IAP18 Instructor: Srini Devadas  Do you like solving recreational puzzles but think programming is difficult or boring? In these videos, Prof. Devadas describes algorithmic puzzles that you will want to solve and whose solutions you will want to code! All code examples use Python.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|a1RaIqkdG0c
610|22|3|Puzzle 3: You Can Read Minds (with a little calibration)|2018-05-10T15:31:41Z|MIT 6.S095 Programming for the Puzzled, IAP 2018 View the complete course: https://ocw.mit.edu/6-S095IAP18 Instructor: Srini Devadas  Do you like solving recreational puzzles but think programming is difficult or boring? In these videos, Prof. Devadas describes algorithmic puzzles that you will want to solve and whose solutions you will want to code! All code examples use Python.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|zDHhHPZm2rc
611|22|4|Puzzle 4: Please Do Break the Crystal|2018-05-10T15:31:41Z|MIT 6.S095 Programming for the Puzzled, IAP 2018 View the complete course: https://ocw.mit.edu/6-S095IAP18 Instructor: Srini Devadas  Do you like solving recreational puzzles but think programming is difficult or boring? In these videos, Prof. Devadas describes algorithmic puzzles that you will want to solve and whose solutions you will want to code! All code examples use Python.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|Fp7usgx_CvM
612|22|5|Puzzle 5: Keep Those Queens Apart|2018-05-10T15:31:41Z|MIT 6.S095 Programming for the Puzzled, IAP 2018 View the complete course: https://ocw.mit.edu/6-S095IAP18 Instructor: Srini Devadas  Do you like solving recreational puzzles but think programming is difficult or boring? In these videos, Prof. Devadas describes algorithmic puzzles that you will want to solve and whose solutions you will want to code! All code examples use Python.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|1_0WwiUUsTc
613|22|6|Puzzle 6: A Profusion of Queens|2018-05-10T15:31:41Z|MIT 6.S095 Programming for the Puzzled, IAP 2018 View the complete course: https://ocw.mit.edu/6-S095IAP18 Instructor: Srini Devadas  Do you like solving recreational puzzles but think programming is difficult or boring? In these videos, Prof. Devadas describes algorithmic puzzles that you will want to solve and whose solutions you will want to code! All code examples use Python.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|Pe1MBDbGfwc
614|22|7|Puzzle 7: Tile that Courtyard, Please|2018-05-10T15:31:41Z|MIT 6.S095 Programming for the Puzzled, IAP 2018 View the complete course: https://ocw.mit.edu/6-S095IAP18 Instructor: Srini Devadas  Do you like solving recreational puzzles but think programming is difficult or boring? In these videos, Prof. Devadas describes algorithmic puzzles that you will want to solve and whose solutions you will want to code! All code examples use Python.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|eSRNeIyX5dY
615|22|8|Puzzle 8: You Won't Want to Play Sudoku Again|2018-05-10T15:31:40Z|MIT 6.S095 Programming for the Puzzled, IAP 2018 View the complete course: https://ocw.mit.edu/6-S095IAP18 Instructor: Srini Devadas  Do you like solving recreational puzzles but think programming is difficult or boring? In these videos, Prof. Devadas describes algorithmic puzzles that you will want to solve and whose solutions you will want to code! All code examples use Python.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|auK3PSZoidc
616|22|9|Puzzle 9: The Disorganized Handyman|2018-05-10T15:31:41Z|MIT 6.S095 Programming for the Puzzled, IAP 2018 View the complete course: https://ocw.mit.edu/6-S095IAP18 Instructor: Srini Devadas  Do you like solving recreational puzzles but think programming is difficult or boring? In these videos, Prof. Devadas describes algorithmic puzzles that you will want to solve and whose solutions you will want to code! All code examples use Python.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|9TtLlVBjvR0
617|22|10|Puzzle 10: A Weekend To Remember|2018-05-10T15:31:40Z|MIT 6.S095 Programming for the Puzzled, IAP 2018 View the complete course: https://ocw.mit.edu/6-S095IAP18 Instructor: Srini Devadas  Do you like solving recreational puzzles but think programming is difficult or boring? In these videos, Prof. Devadas describes algorithmic puzzles that you will want to solve and whose solutions you will want to code! All code examples use Python.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|zgk93CwMVk8
618|22|11|Puzzle 11: Memory Serves You Well|2018-05-10T15:31:40Z|MIT 6.S095 Programming for the Puzzled, IAP 2018 View the complete course: https://ocw.mit.edu/6-S095IAP18 Instructor: Srini Devadas  Do you like solving recreational puzzles but think programming is difficult or boring? In these videos, Prof. Devadas describes algorithmic puzzles that you will want to solve and whose solutions you will want to code! All code examples use Python.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|6FYk-3vt4FE
619|23|1|1. Overview|2015-07-14T18:35:05Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|7d73E1DiH0w
620|23|2|2. 3-Partition I|2015-07-14T18:33:04Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|ZaSMm2xvatw
621|23|3|3. 3-Partition II|2015-08-12T17:24:08Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|TZSBHuy8yhQ
622|23|4|4. SAT I|2015-07-14T18:33:05Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|x-Ik9YAFAPo
623|23|5|5. SAT Reductions|2015-07-14T18:33:03Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|e10dswn-grA
624|23|6|6. Circuit SAT|2015-07-14T18:33:05Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|ziViLYrf1Ak
625|23|7|7. Planar SAT|2015-07-14T18:33:02Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|KU8I8LjnQgE
626|23|8|8. Hamiltonicity|2015-07-14T18:33:06Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|PFfv1JnQB8Q
627|23|9|9. Graph Problems|2015-07-14T18:33:04Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|KvBk_u8NNp4
628|23|10|10. Inapproximabililty Overview|2015-07-14T18:33:05Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|snugEmWtEm4
629|23|11|11. Inapproximability Examples|2015-07-14T18:33:06Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|28WhZvnvsAg
630|23|12|12. Gaps and PCP|2015-07-14T18:33:05Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|R-0_0OQ2f4Y
631|23|13|13. W Hierarchy|2015-07-14T18:33:04Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|P3YoIxiz6to
632|23|14|14. ETH and Planar FPT|2015-07-14T18:33:03Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|ctxnYDAIDO4
633|23|15|15. #P and ASP|2015-07-14T18:33:03Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|XROTP1RiNaA
634|23|16|16. NP and PSPACE Video Games|2015-07-14T18:33:03Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|ogbjia9gp34
635|23|17|17. Nondeterministic Constraint Logic|2015-07-14T18:33:05Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|ccD0yAk1wL0
636|23|18|18. 0- and 2-Player Games|2015-07-14T18:33:04Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|aDmFyu0Yt7s
637|23|19|19. Unbounded Games|2015-07-14T18:33:06Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|42TnAE67iaE
638|23|20|20. Undecidable and P-Complete|2015-07-14T18:33:04Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|LHBc2mE71yc
639|23|21|21. 3SUM and APSP Hardness|2015-07-14T18:33:03Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|X05j49pc6DE
640|23|22|22. PPAD|2015-07-14T18:33:05Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|TUbfCY_8Dzs
641|23|23|23. PPAD Reductions|2015-07-14T18:33:03Z|View the complete course: http://ocw.mit.edu/6-890F14 Instructor: Erik Demaine  In this lecture, Professor Demaine gives a brief overview of the class, summarizing the prerequisite complexity theory and featuring two examples of hardness proofs in games.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|Ih0cPR745fM
642|24|1|1. Introduction, Threat Models|2015-07-14T16:21:11Z|View the complete course: http://ocw.mit.edu/6-858F14 Instructor: Nickolai Zeldovich  This is a class on the design and implementation of secure computer systems, focusing on threat models, attacks that compromise security, and techniques for achieving security. * Now with less squeaking chairs! *  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|GqmQg-cszw4
643|24|2|2. Control Hijacking Attacks|2017-03-30T15:48:52Z|View the complete course: http://ocw.mit.edu/6-858F14 Instructor: Nickolai Zeldovich  This is a class on the design and implementation of secure computer systems, focusing on threat models, attacks that compromise security, and techniques for achieving security. * Now with less squeaking chairs! *  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|r4KjHEgg9Wg
644|24|3|3. Buffer Overflow Exploits and Defenses|2017-03-30T15:48:51Z|View the complete course: http://ocw.mit.edu/6-858F14 Instructor: Nickolai Zeldovich  This is a class on the design and implementation of secure computer systems, focusing on threat models, attacks that compromise security, and techniques for achieving security. * Now with less squeaking chairs! *  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|xSQxaie_h1o
645|24|4|4. Privilege Separation|2017-03-30T15:48:52Z|View the complete course: http://ocw.mit.edu/6-858F14 Instructor: Nickolai Zeldovich  This is a class on the design and implementation of secure computer systems, focusing on threat models, attacks that compromise security, and techniques for achieving security. * Now with less squeaking chairs! *  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|dNl22h1kW1k
646|24|5|6. Capabilities|2017-03-30T15:48:52Z|View the complete course: http://ocw.mit.edu/6-858F14 Instructor: Nickolai Zeldovich  This is a class on the design and implementation of secure computer systems, focusing on threat models, attacks that compromise security, and techniques for achieving security. * Now with less squeaking chairs! *  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|TQhmua7Z2cY
647|24|6|7. Sandboxing Native Code|2017-03-30T15:48:53Z|View the complete course: http://ocw.mit.edu/6-858F14 Instructor: Nickolai Zeldovich  This is a class on the design and implementation of secure computer systems, focusing on threat models, attacks that compromise security, and techniques for achieving security. * Now with less squeaking chairs! *  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|I0Psvvky-44
648|24|7|8. Web Security Model|2017-03-30T15:48:50Z|View the complete course: http://ocw.mit.edu/6-858F14 Instructor: Nickolai Zeldovich  This is a class on the design and implementation of secure computer systems, focusing on threat models, attacks that compromise security, and techniques for achieving security. * Now with less squeaking chairs! *  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|eRJ_r8WF1Y0
649|24|8|9. Securing Web Applications|2017-03-30T15:48:51Z|View the complete course: http://ocw.mit.edu/6-858F14 Instructor: Nickolai Zeldovich  This is a class on the design and implementation of secure computer systems, focusing on threat models, attacks that compromise security, and techniques for achieving security. * Now with less squeaking chairs! *  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|WlmKwIe9z1Q
650|24|9|10. Symbolic Execution|2015-07-14T16:19:59Z|View the complete course: http://ocw.mit.edu/6-858F14 Instructor: Nickolai Zeldovich  This is a class on the design and implementation of secure computer systems, focusing on threat models, attacks that compromise security, and techniques for achieving security. * Now with less squeaking chairs! *  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|yRVZPvHYHzw
651|24|10|11. Ur/Web|2017-03-30T15:48:49Z|View the complete course: http://ocw.mit.edu/6-858F14 Instructor: Nickolai Zeldovich  This is a class on the design and implementation of secure computer systems, focusing on threat models, attacks that compromise security, and techniques for achieving security. * Now with less squeaking chairs! *  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|XMEFdofERLI
652|24|11|12. Network Security|2017-03-30T15:48:49Z|View the complete course: http://ocw.mit.edu/6-858F14 Instructor: Nickolai Zeldovich  This is a class on the design and implementation of secure computer systems, focusing on threat models, attacks that compromise security, and techniques for achieving security. * Now with less squeaking chairs! *  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|BZTWXl9QNK8
653|24|12|13. Network Protocols|2015-07-14T16:20:00Z|View the complete course: http://ocw.mit.edu/6-858F14 Instructor: Nickolai Zeldovich  This is a class on the design and implementation of secure computer systems, focusing on threat models, attacks that compromise security, and techniques for achieving security. * Now with less squeaking chairs! *  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|QOtA76ga_fY
654|24|13|14. SSL and HTTPS|2017-03-30T15:48:49Z|View the complete course: http://ocw.mit.edu/6-858F14 Instructor: Nickolai Zeldovich  This is a class on the design and implementation of secure computer systems, focusing on threat models, attacks that compromise security, and techniques for achieving security. * Now with less squeaking chairs! *  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|q1OF_0ICt9A
655|24|14|15. Medical Software|2017-03-30T15:48:50Z|View the complete course: http://ocw.mit.edu/6-858F14 Instructor: Nickolai Zeldovich  This is a class on the design and implementation of secure computer systems, focusing on threat models, attacks that compromise security, and techniques for achieving security. * Now with less squeaking chairs! *  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|bA3xCpYLA34
